"corpus","sequence_length","n_sequences","ngram","phoneme","method","freq"
"CMU",2,1000,"phoneme","NG","type",10
"CMU",2,1000,"phoneme","P","type",44
"CMU",2,1000,"phoneme","R","type",73
"CMU",2,1000,"phoneme","S","type",54
"CMU",2,1000,"phoneme","SH","type",56
"CMU",2,1000,"phoneme","T","type",49
"CMU",2,1000,"phoneme","TH","type",9
"CMU",2,1000,"phoneme","V","type",25
"CMU",2,1000,"phoneme","W","type",32
"CMU",2,1000,"phoneme","Y","type",32
"CMU",2,1000,"phoneme","Z","type",50
"CMU",2,1000,"phoneme","ZH","type",7
"CMU",2,1000,"phoneme","Q","type",0
"CMU",3,6841,"phoneme","AA","type",634
"CMU",3,6841,"phoneme","AE","type",557
"CMU",3,6841,"phoneme","AH","type",532
"CMU",3,6841,"phoneme","AO","type",447
"CMU",3,6841,"phoneme","AW","type",219
"CMU",3,6841,"phoneme","AY","type",493
"CMU",3,6841,"phoneme","EH","type",598
"CMU",3,6841,"phoneme","ER","type",693
"CMU",3,6841,"phoneme","EY","type",648
"CMU",3,6841,"phoneme","IH","type",551
"CMU",3,6841,"phoneme","IY","type",1017
"CMU",3,6841,"phoneme","OW","type",671
"CMU",3,6841,"phoneme","OY","type",132
"CMU",3,6841,"phoneme","UH","type",75
"CMU",3,6841,"phoneme","UW","type",525
"CMU",3,6841,"phoneme","AX","type",0
"CMU",3,6841,"phoneme","AXR","type",0
"CMU",3,6841,"phoneme","IX","type",0
"CMU",3,6841,"phoneme","UX","type",0
"CMU",3,6841,"phoneme","B","type",710
"CMU",3,6841,"phoneme","CH","type",299
"CMU",3,6841,"phoneme","D","type",757
"CMU",3,6841,"phoneme","DH","type",51
"CMU",3,6841,"phoneme","F","type",437
"CMU",3,6841,"phoneme","G","type",431
"CMU",3,6841,"phoneme","HH","type",439
"CMU",3,6841,"phoneme","JH","type",271
"CMU",3,6841,"phoneme","K","type",1067
"CMU",3,6841,"phoneme","L","type",1202
"CMU",3,6841,"phoneme","M","type",705
"CMU",3,6841,"phoneme","N","type",985
"CMU",3,6841,"phoneme","NG","type",137
"CMU",3,6841,"phoneme","P","type",570
"CMU",3,6841,"phoneme","R","type",978
"CMU",3,6841,"phoneme","S","type",836
"CMU",3,6841,"phoneme","SH","type",459
"CMU",3,6841,"phoneme","T","type",760
"CMU",3,6841,"phoneme","TH","type",208
"CMU",3,6841,"phoneme","V","type",237
"CMU",3,6841,"phoneme","W","type",304
"CMU",3,6841,"phoneme","Y","type",135
"CMU",3,6841,"phoneme","Z","type",738
"CMU",3,6841,"phoneme","ZH","type",15
"CMU",3,6841,"phoneme","Q","type",0
"CMU",4,16335,"phoneme","AA","type",1757
"CMU",4,16335,"phoneme","AE","type",1612
"CMU",4,16335,"phoneme","AH","type",2772
"CMU",4,16335,"phoneme","AO","type",1062
"CMU",4,16335,"phoneme","AW","type",459
"CMU",4,16335,"phoneme","AY","type",1257
"CMU",4,16335,"phoneme","EH","type",1941
"CMU",4,16335,"phoneme","ER","type",3508
"CMU",4,16335,"phoneme","EY","type",1549
"CMU",4,16335,"phoneme","IH","type",1967
"CMU",4,16335,"phoneme","IY","type",4157
"CMU",4,16335,"phoneme","OW","type",2297
"CMU",4,16335,"phoneme","OY","type",233
"CMU",4,16335,"phoneme","UH","type",201
"CMU",4,16335,"phoneme","UW","type",1208
"CMU",4,16335,"phoneme","AX","type",0
"CMU",4,16335,"phoneme","AXR","type",0
"CMU",4,16335,"phoneme","IX","type",0
"CMU",4,16335,"phoneme","UX","type",0
"CMU",4,16335,"phoneme","B","type",2016
"CMU",4,16335,"phoneme","CH","type",539
"CMU",4,16335,"phoneme","D","type",2405
"CMU",4,16335,"phoneme","DH","type",97
"CMU",4,16335,"phoneme","F","type",1267
"CMU",4,16335,"phoneme","G","type",1230
"CMU",4,16335,"phoneme","HH","type",893
"CMU",4,16335,"phoneme","JH","type",605
"CMU",4,16335,"phoneme","K","type",3367
"CMU",4,16335,"phoneme","L","type",3916
"CMU",4,16335,"phoneme","M","type",2041
"CMU",4,16335,"phoneme","N","type",3068
"CMU",4,16335,"phoneme","NG","type",432
"CMU",4,16335,"phoneme","P","type",1632
"CMU",4,16335,"phoneme","R","type",3485
"CMU",4,16335,"phoneme","S","type",3514
"CMU",4,16335,"phoneme","SH","type",862
"CMU",4,16335,"phoneme","T","type",3046
"CMU",4,16335,"phoneme","TH","type",287
"CMU",4,16335,"phoneme","V","type",741
"CMU",4,16335,"phoneme","W","type",836
"CMU",4,16335,"phoneme","Y","type",355
"CMU",4,16335,"phoneme","Z","type",2679
"CMU",4,16335,"phoneme","ZH","type",47
"CMU",4,16335,"phoneme","Q","type",0
"CMU",5,25923,"phoneme","AA","type",3678
"CMU",5,25923,"phoneme","AE","type",3494
"CMU",5,25923,"phoneme","AH","type",8749
"CMU",5,25923,"phoneme","AO","type",1828
"CMU",5,25923,"phoneme","AW","type",664
"CMU",5,25923,"phoneme","AY","type",1742
"CMU",5,25923,"phoneme","EH","type",4097
"CMU",5,25923,"phoneme","ER","type",6195
"CMU",5,25923,"phoneme","EY","type",2181
"CMU",5,25923,"phoneme","IH","type",6819
"CMU",5,25923,"phoneme","IY","type",5837
"CMU",5,25923,"phoneme","OW","type",3526
"CMU",5,25923,"phoneme","OY","type",276
"CMU",5,25923,"phoneme","UH","type",418
"CMU",5,25923,"phoneme","UW","type",1754
"CMU",5,25923,"phoneme","AX","type",0
"CMU",5,25923,"phoneme","AXR","type",0
"CMU",5,25923,"phoneme","IX","type",0
"CMU",5,25923,"phoneme","UX","type",0
"CMU",5,25923,"phoneme","B","type",3845
"CMU",5,25923,"phoneme","CH","type",922
"CMU",5,25923,"phoneme","D","type",4875
"CMU",5,25923,"phoneme","DH","type",119
"CMU",5,25923,"phoneme","F","type",2058
"CMU",5,25923,"phoneme","G","type",2451
"CMU",5,25923,"phoneme","HH","type",1674
"CMU",5,25923,"phoneme","JH","type",1005
"CMU",5,25923,"phoneme","K","type",6564
"CMU",5,25923,"phoneme","L","type",8323
"CMU",5,25923,"phoneme","M","type",4262
"CMU",5,25923,"phoneme","N","type",7688
"CMU",5,25923,"phoneme","NG","type",1545
"CMU",5,25923,"phoneme","P","type",2915
"CMU",5,25923,"phoneme","R","type",6671
"CMU",5,25923,"phoneme","S","type",6977
"CMU",5,25923,"phoneme","SH","type",1380
"CMU",5,25923,"phoneme","T","type",6268
"CMU",5,25923,"phoneme","TH","type",450
"CMU",5,25923,"phoneme","V","type",1525
"CMU",5,25923,"phoneme","W","type",1584
"CMU",5,25923,"phoneme","Y","type",684
"CMU",5,25923,"phoneme","Z","type",4500
"CMU",5,25923,"phoneme","ZH","type",72
"CMU",5,25923,"phoneme","Q","type",0
"CMU",6,27205,"phoneme","AA","type",5210
"CMU",6,27205,"phoneme","AE","type",4207
"CMU",6,27205,"phoneme","AH","type",12792
"CMU",6,27205,"phoneme","AO","type",2343
"CMU",6,27205,"phoneme","AW","type",683
"CMU",6,27205,"phoneme","AY","type",2102
"CMU",6,27205,"phoneme","EH","type",5318
"CMU",6,27205,"phoneme","ER","type",5672
"CMU",6,27205,"phoneme","EY","type",2169
"CMU",6,27205,"phoneme","IH","type",9309
"CMU",6,27205,"phoneme","IY","type",6164
"CMU",6,27205,"phoneme","OW","type",3873
"CMU",6,27205,"phoneme","OY","type",231
"CMU",6,27205,"phoneme","UH","type",548
"CMU",6,27205,"phoneme","UW","type",1740
"CMU",6,27205,"phoneme","AX","type",0
"CMU",6,27205,"phoneme","AXR","type",0
"CMU",6,27205,"phoneme","IX","type",0
"CMU",6,27205,"phoneme","UX","type",0
"CMU",6,27205,"phoneme","B","type",4401
"CMU",6,27205,"phoneme","CH","type",948
"CMU",6,27205,"phoneme","D","type",6574
"CMU",6,27205,"phoneme","DH","type",84
"CMU",6,27205,"phoneme","F","type",2699
"CMU",6,27205,"phoneme","G","type",2736
"CMU",6,27205,"phoneme","HH","type",2081
"CMU",6,27205,"phoneme","JH","type",1162
"CMU",6,27205,"phoneme","K","type",8027
"CMU",6,27205,"phoneme","L","type",10644
"CMU",6,27205,"phoneme","M","type",6002
"CMU",6,27205,"phoneme","N","type",11376
"CMU",6,27205,"phoneme","NG","type",2244
"CMU",6,27205,"phoneme","P","type",3381
"CMU",6,27205,"phoneme","R","type",9066
"CMU",6,27205,"phoneme","S","type",8826
"CMU",6,27205,"phoneme","SH","type",1255
"CMU",6,27205,"phoneme","T","type",8303
"CMU",6,27205,"phoneme","TH","type",602
"CMU",6,27205,"phoneme","V","type",1930
"CMU",6,27205,"phoneme","W","type",2194
"CMU",6,27205,"phoneme","Y","type",862
"CMU",6,27205,"phoneme","Z","type",5377
"CMU",6,27205,"phoneme","ZH","type",95
"CMU",6,27205,"phoneme","Q","type",0
"CMU",7,20994,"phoneme","AA","type",4870
"CMU",7,20994,"phoneme","AE","type",3818
"CMU",7,20994,"phoneme","AH","type",11919
"CMU",7,20994,"phoneme","AO","type",2105
"CMU",7,20994,"phoneme","AW","type",555
"CMU",7,20994,"phoneme","AY","type",1944
"CMU",7,20994,"phoneme","EH","type",4826
"CMU",7,20994,"phoneme","ER","type",4563
"CMU",7,20994,"phoneme","EY","type",1825
"CMU",7,20994,"phoneme","IH","type",8608
"CMU",7,20994,"phoneme","IY","type",5349
"CMU",7,20994,"phoneme","OW","type",3289
"CMU",7,20994,"phoneme","OY","type",167
"CMU",7,20994,"phoneme","UH","type",458
"CMU",7,20994,"phoneme","UW","type",1446
"CMU",7,20994,"phoneme","AX","type",0
"CMU",7,20994,"phoneme","AXR","type",0
"CMU",7,20994,"phoneme","IX","type",0
"CMU",7,20994,"phoneme","UX","type",0
"CMU",7,20994,"phoneme","B","type",3698
"CMU",7,20994,"phoneme","CH","type",780
"CMU",7,20994,"phoneme","D","type",5983
"CMU",7,20994,"phoneme","DH","type",81
"CMU",7,20994,"phoneme","F","type",2317
"CMU",7,20994,"phoneme","G","type",2375
"CMU",7,20994,"phoneme","HH","type",1775
"CMU",7,20994,"phoneme","JH","type",990
"CMU",7,20994,"phoneme","K","type",7183
"CMU",7,20994,"phoneme","L","type",8577
"CMU",7,20994,"phoneme","M","type",5234
"CMU",7,20994,"phoneme","N","type",10852
"CMU",7,20994,"phoneme","NG","type",1854
"CMU",7,20994,"phoneme","P","type",3211
"CMU",7,20994,"phoneme","R","type",8425
"CMU",7,20994,"phoneme","S","type",8769
"CMU",7,20994,"phoneme","SH","type",959
"CMU",7,20994,"phoneme","T","type",8323
"CMU",7,20994,"phoneme","TH","type",536
"CMU",7,20994,"phoneme","V","type",1959
"CMU",7,20994,"phoneme","W","type",1698
"CMU",7,20994,"phoneme","Y","type",749
"CMU",7,20994,"phoneme","Z","type",4793
"CMU",7,20994,"phoneme","ZH","type",95
"CMU",7,20994,"phoneme","Q","type",0
"CMU",8,15211,"phoneme","AA","type",3865
"CMU",8,15211,"phoneme","AE","type",3215
"CMU",8,15211,"phoneme","AH","type",10649
"CMU",8,15211,"phoneme","AO","type",1525
"CMU",8,15211,"phoneme","AW","type",371
"CMU",8,15211,"phoneme","AY","type",1560
"CMU",8,15211,"phoneme","EH","type",3937
"CMU",8,15211,"phoneme","ER","type",3512
"CMU",8,15211,"phoneme","EY","type",1560
"CMU",8,15211,"phoneme","IH","type",7646
"CMU",8,15211,"phoneme","IY","type",4708
"CMU",8,15211,"phoneme","OW","type",2467
"CMU",8,15211,"phoneme","OY","type",80
"CMU",8,15211,"phoneme","UH","type",320
"CMU",8,15211,"phoneme","UW","type",1149
"CMU",8,15211,"phoneme","AX","type",0
"CMU",8,15211,"phoneme","AXR","type",0
"CMU",8,15211,"phoneme","IX","type",0
"CMU",8,15211,"phoneme","UX","type",0
"CMU",8,15211,"phoneme","B","type",2716
"CMU",8,15211,"phoneme","CH","type",620
"CMU",8,15211,"phoneme","D","type",4831
"CMU",8,15211,"phoneme","DH","type",74
"CMU",8,15211,"phoneme","F","type",1935
"CMU",8,15211,"phoneme","G","type",1893
"CMU",8,15211,"phoneme","HH","type",1200
"CMU",8,15211,"phoneme","JH","type",844
"CMU",8,15211,"phoneme","K","type",6017
"CMU",8,15211,"phoneme","L","type",6532
"CMU",8,15211,"phoneme","M","type",4337
"CMU",8,15211,"phoneme","N","type",9307
"CMU",8,15211,"phoneme","NG","type",1538
"CMU",8,15211,"phoneme","P","type",2731
"CMU",8,15211,"phoneme","R","type",6636
"CMU",8,15211,"phoneme","S","type",7855
"CMU",8,15211,"phoneme","SH","type",888
"CMU",8,15211,"phoneme","T","type",7331
"CMU",8,15211,"phoneme","TH","type",333
"CMU",8,15211,"phoneme","V","type",1729
"CMU",8,15211,"phoneme","W","type",1134
"CMU",8,15211,"phoneme","Y","type",749
"CMU",8,15211,"phoneme","Z","type",3797
"CMU",8,15211,"phoneme","ZH","type",97
"CMU",8,15211,"phoneme","Q","type",0
"CMU",9,9239,"phoneme","AA","type",2234
"CMU",9,9239,"phoneme","AE","type",2055
"CMU",9,9239,"phoneme","AH","type",8210
"CMU",9,9239,"phoneme","AO","type",1025
"CMU",9,9239,"phoneme","AW","type",206
"CMU",9,9239,"phoneme","AY","type",918
"CMU",9,9239,"phoneme","EH","type",2711
"CMU",9,9239,"phoneme","ER","type",2148
"CMU",9,9239,"phoneme","EY","type",1209
"CMU",9,9239,"phoneme","IH","type",5658
"CMU",9,9239,"phoneme","IY","type",3056
"CMU",9,9239,"phoneme","OW","type",1366
"CMU",9,9239,"phoneme","OY","type",52
"CMU",9,9239,"phoneme","UH","type",148
"CMU",9,9239,"phoneme","UW","type",813
"CMU",9,9239,"phoneme","AX","type",0
"CMU",9,9239,"phoneme","AXR","type",0
"CMU",9,9239,"phoneme","IX","type",0
"CMU",9,9239,"phoneme","UX","type",0
"CMU",9,9239,"phoneme","B","type",1775
"CMU",9,9239,"phoneme","CH","type",380
"CMU",9,9239,"phoneme","D","type",3107
"CMU",9,9239,"phoneme","DH","type",41
"CMU",9,9239,"phoneme","F","type",1364
"CMU",9,9239,"phoneme","G","type",1159
"CMU",9,9239,"phoneme","HH","type",661
"CMU",9,9239,"phoneme","JH","type",556
"CMU",9,9239,"phoneme","K","type",4108
"CMU",9,9239,"phoneme","L","type",4284
"CMU",9,9239,"phoneme","M","type",2803
"CMU",9,9239,"phoneme","N","type",6637
"CMU",9,9239,"phoneme","NG","type",1020
"CMU",9,9239,"phoneme","P","type",1999
"CMU",9,9239,"phoneme","R","type",4442
"CMU",9,9239,"phoneme","S","type",5392
"CMU",9,9239,"phoneme","SH","type",808
"CMU",9,9239,"phoneme","T","type",5653
"CMU",9,9239,"phoneme","TH","type",209
"CMU",9,9239,"phoneme","V","type",1103
"CMU",9,9239,"phoneme","W","type",593
"CMU",9,9239,"phoneme","Y","type",554
"CMU",9,9239,"phoneme","Z","type",2627
"CMU",9,9239,"phoneme","ZH","type",67
"CMU",9,9239,"phoneme","Q","type",0
"CMU",10,5178,"phoneme","AA","type",1270
"CMU",10,5178,"phoneme","AE","type",1247
"CMU",10,5178,"phoneme","AH","type",5701
"CMU",10,5178,"phoneme","AO","type",566
"CMU",10,5178,"phoneme","AW","type",73
"CMU",10,5178,"phoneme","AY","type",575
"CMU",10,5178,"phoneme","EH","type",1690
"CMU",10,5178,"phoneme","ER","type",1250
"CMU",10,5178,"phoneme","EY","type",924
"CMU",10,5178,"phoneme","IH","type",3783
"CMU",10,5178,"phoneme","IY","type",1845
"CMU",10,5178,"phoneme","OW","type",739
"CMU",10,5178,"phoneme","OY","type",24
"CMU",10,5178,"phoneme","UH","type",70
"CMU",10,5178,"phoneme","UW","type",468
"CMU",10,5178,"phoneme","AX","type",0
"CMU",10,5178,"phoneme","AXR","type",0
"CMU",10,5178,"phoneme","IX","type",0
"CMU",10,5178,"phoneme","UX","type",0
"CMU",10,5178,"phoneme","B","type",1001
"CMU",10,5178,"phoneme","CH","type",175
"CMU",10,5178,"phoneme","D","type",1755
"CMU",10,5178,"phoneme","DH","type",12
"CMU",10,5178,"phoneme","F","type",776
"CMU",10,5178,"phoneme","G","type",615
"CMU",10,5178,"phoneme","HH","type",327
"CMU",10,5178,"phoneme","JH","type",340
"CMU",10,5178,"phoneme","K","type",2604
"CMU",10,5178,"phoneme","L","type",2515
"CMU",10,5178,"phoneme","M","type",1711
"CMU",10,5178,"phoneme","N","type",4275
"CMU",10,5178,"phoneme","NG","type",590
"CMU",10,5178,"phoneme","P","type",1366
"CMU",10,5178,"phoneme","R","type",2732
"CMU",10,5178,"phoneme","S","type",3325
"CMU",10,5178,"phoneme","SH","type",711
"CMU",10,5178,"phoneme","T","type",3683
"CMU",10,5178,"phoneme","TH","type",121
"CMU",10,5178,"phoneme","V","type",640
"CMU",10,5178,"phoneme","W","type",290
"CMU",10,5178,"phoneme","Y","type",414
"CMU",10,5178,"phoneme","Z","type",1536
"CMU",10,5178,"phoneme","ZH","type",41
"CMU",10,5178,"phoneme","Q","type",0
"CMU",11,2889,"phoneme","AA","type",691
"CMU",11,2889,"phoneme","AE","type",791
"CMU",11,2889,"phoneme","AH","type",3834
"CMU",11,2889,"phoneme","AO","type",294
"CMU",11,2889,"phoneme","AW","type",37
"CMU",11,2889,"phoneme","AY","type",327
"CMU",11,2889,"phoneme","EH","type",1000
"CMU",11,2889,"phoneme","ER","type",619
"CMU",11,2889,"phoneme","EY","type",616
"CMU",11,2889,"phoneme","IH","type",2520
"CMU",11,2889,"phoneme","IY","type",1135
"CMU",11,2889,"phoneme","OW","type",372
"CMU",11,2889,"phoneme","OY","type",16
"CMU",11,2889,"phoneme","UH","type",40
"CMU",11,2889,"phoneme","UW","type",264
"CMU",11,2889,"phoneme","AX","type",0
"CMU",11,2889,"phoneme","AXR","type",0
"CMU",11,2889,"phoneme","IX","type",0
"CMU",11,2889,"phoneme","UX","type",0
"CMU",11,2889,"phoneme","B","type",510
"CMU",11,2889,"phoneme","CH","type",105
"CMU",11,2889,"phoneme","D","type",1002
"CMU",11,2889,"phoneme","DH","type",7
"CMU",11,2889,"phoneme","F","type",477
"CMU",11,2889,"phoneme","G","type",323
"CMU",11,2889,"phoneme","HH","type",139
"CMU",11,2889,"phoneme","JH","type",206
"CMU",11,2889,"phoneme","K","type",1687
"CMU",11,2889,"phoneme","L","type",1607
"CMU",11,2889,"phoneme","M","type",1059
"CMU",11,2889,"phoneme","N","type",2818
"CMU",11,2889,"phoneme","NG","type",296
"CMU",11,2889,"phoneme","P","type",857
"CMU",11,2889,"phoneme","R","type",1647
"CMU",11,2889,"phoneme","S","type",1963
"CMU",11,2889,"phoneme","SH","type",542
"CMU",11,2889,"phoneme","T","type",2252
"CMU",11,2889,"phoneme","TH","type",66
"CMU",11,2889,"phoneme","V","type",352
"CMU",11,2889,"phoneme","W","type",151
"CMU",11,2889,"phoneme","Y","type",291
"CMU",11,2889,"phoneme","Z","type",850
"CMU",11,2889,"phoneme","ZH","type",16
"CMU",11,2889,"phoneme","Q","type",0
"CMU",12,1564,"phoneme","AA","type",402
"CMU",12,1564,"phoneme","AE","type",417
"CMU",12,1564,"phoneme","AH","type",2446
"CMU",12,1564,"phoneme","AO","type",145
"CMU",12,1564,"phoneme","AW","type",15
"CMU",12,1564,"phoneme","AY","type",203
"CMU",12,1564,"phoneme","EH","type",604
"CMU",12,1564,"phoneme","ER","type",324
"CMU",12,1564,"phoneme","EY","type",412
"CMU",12,1564,"phoneme","IH","type",1496
"CMU",12,1564,"phoneme","IY","type",617
"CMU",12,1564,"phoneme","OW","type",232
"CMU",12,1564,"phoneme","OY","type",5
"CMU",12,1564,"phoneme","UH","type",16
"CMU",12,1564,"phoneme","UW","type",162
"CMU",12,1564,"phoneme","AX","type",0
"CMU",12,1564,"phoneme","AXR","type",0
"CMU",12,1564,"phoneme","IX","type",0
"CMU",12,1564,"phoneme","UX","type",0
"CMU",12,1564,"phoneme","B","type",234
"CMU",12,1564,"phoneme","CH","type",58
"CMU",12,1564,"phoneme","D","type",504
"CMU",12,1564,"phoneme","DH","type",1
"CMU",12,1564,"phoneme","F","type",236
"CMU",12,1564,"phoneme","G","type",183
"CMU",12,1564,"phoneme","HH","type",61
"CMU",12,1564,"phoneme","JH","type",151
"CMU",12,1564,"phoneme","K","type",961
"CMU",12,1564,"phoneme","L","type",880
"CMU",12,1564,"phoneme","M","type",655
"CMU",12,1564,"phoneme","N","type",1724
"CMU",12,1564,"phoneme","NG","type",150
"CMU",12,1564,"phoneme","P","type",551
"CMU",12,1564,"phoneme","R","type",944
"CMU",12,1564,"phoneme","S","type",1162
"CMU",12,1564,"phoneme","SH","type",387
"CMU",12,1564,"phoneme","T","type",1426
"CMU",12,1564,"phoneme","TH","type",35
"CMU",12,1564,"phoneme","V","type",239
"CMU",12,1564,"phoneme","W","type",61
"CMU",12,1564,"phoneme","Y","type",186
"CMU",12,1564,"phoneme","Z","type",476
"CMU",12,1564,"phoneme","ZH","type",7
"CMU",12,1564,"phoneme","Q","type",0
